millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z
54603,174,193,144,255,264,-4.2,-5.22,8.83
54703,176,193,144,257,266,-4.16,-5.33,8.87
54803,176,194,144,257,264,-4.12,-5.45,8.9
54903,174,192,143,257,265,-4.2,-5.26,8.47
55003,177,194,144,257,264,-3.96,-5.18,8.75
55103,174,193,146,256,265,-4.24,-5.22,8.75
55203,175,193,146,255,265,-4.24,-5.22,8.75
55303,175,194,145,255,264,-4.16,-5.26,8.83
55403,176,193,144,257,266,-4.28,-5.37,8.51
55503,177,194,145,257,266,-4.12,-5.3,8.47
55603,176,194,145,256,266,-4.12,-5.3,8.55
55703,176,195,148,254,267,-4.04,-5.33,8.39
55803,177,196,147,255,268,-4.31,-5.33,8.67
55903,179,196,147,257,266,-3.96,-5.14,8.63
56003,181,195,147,257,267,-4.08,-5.41,8.75
56103,177,191,144,254,263,-4.43,-5.33,8.79
56203,179,194,142,255,263,-4,-5.22,8.67
56303,177,195,144,255,263,-4.12,-5.18,8.59
56403,179,197,146,258,266,-4,-5.33,8.87
56503,179,195,144,254,261,-4.04,-5.33,8.51
56603,177,195,143,256,261,-4.08,-5.3,8.51
56704,177,194,145,255,268,-4.16,-5.26,8.67
56803,176,195,146,253,266,-4.43,-5.33,8.59
56903,177,189,146,258,268,-4.24,-5.26,8.67
57004,178,196,145,259,268,-4.31,-5.14,8.47
57103,175,192,144,255,264,-4.04,-5.37,8.71
57203,176,194,145,257,267,-4.31,-5.18,8.43
57403,175,195,146,258,267,-4,-5.33,8.47
57503,176,194,145,256,266,-4.24,-5.3,8.67
57603,178,197,147,260,269,-4.43,-5.33,8.75
57703,179,197,147,260,270,-4.16,-5.22,8.63
57803,179,196,146,261,269,-4.24,-5.26,8.59
57903,178,196,148,261,269,-4.12,-5.26,8.94
58003,177,197,147,261,271,-4.24,-5.3,8.63
58103,179,196,147,259,269,-4.2,-5.33,8.83
58203,180,198,148,261,269,-4.12,-5.22,8.71
58303,180,198,147,262,270,-4.51,-5.3,9.1
58403,178,197,148,261,270,-4.28,-5.37,8.79
58503,179,197,147,261,270,-4.2,-5.26,8.47
58603,179,198,148,260,270,-4.2,-5.22,8.47
58703,179,198,147,260,269,-4.24,-5.3,8.51
58803,178,194,149,259,270,-4.12,-5.3,8.47
58903,180,197,144,259,268,-4.24,-5.3,8.43
59003,182,198,148,261,271,-4.28,-5.26,8.67
59103,181,198,149,260,270,-4.24,-5.26,8.47
59203,182,197,148,261,269,-4.12,-5.3,8.63
59303,181,196,147,259,268,-4.28,-5.3,8.67
59403,180,194,149,258,269,-4.04,-5.22,8.43
59503,178,196,148,260,267,-4.12,-5.3,8.67
59603,180,197,147,260,269,-4.08,-5.26,8.47
59703,179,198,147,259,270,-4.24,-5.22,8.83
59803,177,196,146,258,267,-4.16,-5.33,8.47
59904,177,193,145,257,266,-4.28,-5.22,8.79
60003,177,192,145,261,268,-4.39,-5.1,9.1
60103,177,195,141,258,268,-4.28,-5.3,8.67
60204,176,196,145,259,267,-4.2,-5.37,8.43
60303,177,197,147,259,269,-4.24,-5.14,8.36
60403,178,195,146,259,267,-4.31,-5.26,8.59
60603,179,198,148,261,270,-4.04,-5.33,8.59
60703,177,196,146,259,267,-3.88,-5.14,8.12
60803,179,199,148,262,272,-4.2,-5.33,8.67
60903,180,197,146,260,270,-4.16,-5.26,8.51
61003,178,197,148,262,271,-4.35,-5.14,8.67
61103,179,196,148,262,271,-4.31,-5.3,8.51
