millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel,infile,norm_Ngon_1,norm_Ngon_2,norm_Ngon_3,norm_Ngon_4,norm_Ngon_5,norm_X,norm_Y,norm_Z,bin_0_norm_Ngon_1,bin_1_norm_Ngon_1,bin_2_norm_Ngon_1,bin_3_norm_Ngon_1,bin_0_norm_Ngon_2,bin_1_norm_Ngon_2,bin_2_norm_Ngon_2,bin_3_norm_Ngon_2,bin_0_norm_Ngon_3,bin_1_norm_Ngon_3,bin_2_norm_Ngon_3,bin_3_norm_Ngon_3,bin_0_norm_Ngon_4,bin_1_norm_Ngon_4,bin_2_norm_Ngon_4,bin_3_norm_Ngon_4,bin_0_norm_Ngon_5,bin_1_norm_Ngon_5,bin_2_norm_Ngon_5,bin_3_norm_Ngon_5,bin_0_norm_X,bin_1_norm_X,bin_2_norm_X,bin_3_norm_X,bin_0_norm_Y,bin_1_norm_Y,bin_2_norm_Y,bin_3_norm_Y,bin_0_norm_Z,bin_1_norm_Z,bin_2_norm_Z,bin_3_norm_Z,longestPosEdge,longestNegEdge,longestPosCount,longestNegCount,label
3603,217,269,296,205,232,-3.18,-10.36,3.06,2,a_0_labelled.csv,0.6808333333333333,0.7241666666666666,0.7466666666666667,0.6708333333333333,0.6933333333333334,0.4841,0.4482,0.5153,0,0,8,0,0,0,5,3,0,0,5,3,0,0,7,1,0,0,6,2,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
3703,214,355,371,264,313,-2.63,-9.65,3.1,2,a_0_labelled.csv,0.6783333333333333,0.7958333333333333,0.8091666666666667,0.72,0.7608333333333334,0.48685,0.45175,0.5155,0,0,8,0,0,0,5,3,0,0,5,3,0,0,8,0,0,0,6,2,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
3803,216,413,410,294,359,-3.18,-10.04,3.1,2,a_0_labelled.csv,0.68,0.8441666666666666,0.8416666666666667,0.745,0.7991666666666667,0.4841,0.44980000000000003,0.5155,0,0,8,0,0,0,5,3,0,0,5,3,0,0,8,0,0,0,6,2,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
3903,214,408,411,302,372,-2.43,-9.73,3.65,2,a_0_labelled.csv,0.6783333333333333,0.84,0.8425,0.7516666666666667,0.81,0.48784999999999995,0.45135,0.51825,0,0,8,0,0,0,5,3,0,0,5,3,0,0,7,1,0,0,5,3,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
4003,215,411,404,302,370,-2.79,-10.32,3.02,2,a_0_labelled.csv,0.6791666666666667,0.8425,0.8366666666666667,0.7516666666666667,0.8083333333333333,0.48605,0.4484,0.5151,0,0,8,0,0,0,4,4,0,0,4,4,0,0,6,2,0,0,4,4,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
4103,216,408,406,303,367,-2.98,-10.08,3.22,2,a_0_labelled.csv,0.68,0.84,0.8383333333333334,0.7525,0.8058333333333333,0.4851,0.4496,0.5161,0,0,8,0,0,0,3,5,0,0,3,5,0,0,5,3,0,0,3,5,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
4203,217,407,406,301,364,-2.39,-9.92,3.37,2,a_0_labelled.csv,0.6808333333333333,0.8391666666666666,0.8383333333333334,0.7508333333333334,0.8033333333333333,0.48805,0.45039999999999997,0.51685,0,0,8,0,0,0,2,6,0,0,2,6,0,0,4,4,0,0,2,6,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
4303,215,403,403,297,362,-2.16,-10.04,3.26,2,a_0_labelled.csv,0.6791666666666667,0.8358333333333333,0.8358333333333333,0.7475,0.8016666666666666,0.4892,0.44980000000000003,0.5163,0,0,8,0,0,0,1,7,0,0,1,7,0,0,4,4,0,0,1,7,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
4403,213,395,398,293,355,-2.55,-10.36,3.02,2,a_0_labelled.csv,0.6775,0.8291666666666667,0.8316666666666667,0.7441666666666666,0.7958333333333333,0.48725,0.4482,0.5151,0,0,8,0,0,0,0,8,0,0,0,8,0,0,4,4,0,0,0,8,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
4503,214,325,331,249,289,-2.47,-10.43,2.86,2,a_0_labelled.csv,0.6783333333333333,0.7708333333333334,0.7758333333333334,0.7075,0.7408333333333333,0.48765000000000003,0.44784999999999997,0.5143,0,0,8,0,0,0,0,8,0,0,0,8,0,0,4,4,0,0,1,7,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
4603,215,225,240,171,251,-2.47,-10.32,2.94,0,a_0_labelled.csv,0.6791666666666667,0.6875,0.7,0.6425,0.7091666666666666,0.48765000000000003,0.4484,0.5146999999999999,0,0,8,0,0,0,1,7,0,0,1,7,0,0,4,4,0,0,2,6,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
4703,219,191,205,143,204,-2.47,-10.4,2.67,0,a_0_labelled.csv,0.6825,0.6591666666666667,0.6708333333333333,0.6191666666666666,0.67,0.48765000000000003,0.44799999999999995,0.51335,0,0,8,0,0,0,2,6,0,0,2,6,0,0,5,3,0,0,3,5,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
4803,223,186,199,140,187,-2.28,-10.2,2.0,0,a_0_labelled.csv,0.6858333333333333,0.655,0.6658333333333334,0.6166666666666667,0.6558333333333334,0.4886,0.449,0.51,0,0,8,0,0,0,3,5,0,0,3,5,0,0,6,2,0,0,4,4,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
4903,225,186,198,139,186,-2.63,-10.36,1.57,0,a_0_labelled.csv,0.6875,0.655,0.665,0.6158333333333333,0.655,0.48685,0.4482,0.5078499999999999,0,0,8,0,0,0,4,4,0,0,4,4,0,0,7,1,0,0,5,3,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
5003,225,185,197,139,184,-2.55,-10.36,1.49,0,a_0_labelled.csv,0.6875,0.6541666666666667,0.6641666666666667,0.6158333333333333,0.6533333333333333,0.48725,0.4482,0.50745,0,0,8,0,0,0,5,3,0,0,5,3,0,0,8,0,0,0,6,2,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
5103,223,186,199,140,185,-2.51,-10.24,1.88,0,a_0_labelled.csv,0.6858333333333333,0.655,0.6658333333333334,0.6166666666666667,0.6541666666666667,0.48745,0.44880000000000003,0.5094,0,0,8,0,0,0,6,2,0,0,6,2,0,0,8,0,0,0,7,1,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
5203,219,252,289,182,218,-2.16,-10.75,1.49,0,a_0_labelled.csv,0.6825,0.71,0.7408333333333333,0.6516666666666666,0.6816666666666666,0.4892,0.44625,0.50745,0,0,8,0,0,0,7,1,0,0,7,1,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
5303,214,374,393,266,307,-2.0,-9.96,1.22,2,a_0_labelled.csv,0.6783333333333333,0.8116666666666666,0.8275,0.7216666666666667,0.7558333333333334,0.49,0.45019999999999993,0.5061,0,0,8,0,0,0,7,1,0,0,7,1,0,0,8,0,0,0,7,1,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
5403,214,406,416,292,344,-2.39,-9.85,1.77,2,a_0_labelled.csv,0.6783333333333333,0.8383333333333334,0.8466666666666667,0.7433333333333333,0.7866666666666666,0.48805,0.45075000000000004,0.50885,0,0,8,0,0,0,6,2,0,0,6,2,0,0,8,0,0,0,6,2,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
5504,212,413,419,307,376,-2.63,-10.28,2.59,2,a_0_labelled.csv,0.6766666666666666,0.8441666666666666,0.8491666666666666,0.7558333333333334,0.8133333333333334,0.48685,0.4486,0.51295,0,0,8,0,0,0,5,3,0,0,5,3,0,0,7,1,0,0,5,3,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
5603,211,412,414,307,370,-2.28,-10.4,3.02,2,a_0_labelled.csv,0.6758333333333333,0.8433333333333334,0.845,0.7558333333333334,0.8083333333333333,0.4886,0.44799999999999995,0.5151,0,0,8,0,0,0,4,4,0,0,4,4,0,0,6,2,0,0,4,4,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
5703,210,404,410,309,365,-2.98,-9.81,3.65,2,a_0_labelled.csv,0.675,0.8366666666666667,0.8416666666666667,0.7575,0.8041666666666667,0.4851,0.45094999999999996,0.51825,0,0,8,0,0,0,3,5,0,0,3,5,0,0,5,3,0,0,3,5,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
5804,210,405,414,305,362,-2.59,-9.89,3.22,2,a_0_labelled.csv,0.675,0.8375,0.845,0.7541666666666667,0.8016666666666666,0.48705,0.45055,0.5161,0,0,8,0,0,0,2,6,0,0,2,6,0,0,4,4,0,0,2,6,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
5903,210,403,412,305,361,-2.28,-10.08,2.82,2,a_0_labelled.csv,0.675,0.8358333333333333,0.8433333333333334,0.7541666666666667,0.8008333333333333,0.4886,0.4496,0.5141,0,0,8,0,0,0,1,7,0,0,1,7,0,0,3,5,0,0,1,7,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
6003,208,403,408,303,359,-2.43,-10.04,2.82,2,a_0_labelled.csv,0.6733333333333333,0.8358333333333333,0.84,0.7525,0.7991666666666667,0.48784999999999995,0.44980000000000003,0.5141,0,0,8,0,0,0,0,8,0,0,0,8,0,0,2,6,0,0,0,8,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
6203,210,353,368,279,335,-3.26,-9.49,3.26,2,a_0_labelled.csv,0.675,0.7941666666666667,0.8066666666666666,0.7325,0.7791666666666667,0.48369999999999996,0.45255,0.5163,0,0,8,0,0,0,0,8,0,0,0,8,0,0,2,6,0,0,0,8,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
6303,212,252,279,210,248,-2.86,-10.75,2.28,2,a_0_labelled.csv,0.6766666666666666,0.71,0.7325,0.675,0.7066666666666667,0.4857,0.44625,0.5114,0,0,8,0,0,0,1,7,0,0,1,7,0,0,2,6,0,0,1,7,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
6403,217,197,214,153,225,-2.79,-10.4,1.8,0,a_0_labelled.csv,0.6808333333333333,0.6641666666666667,0.6783333333333333,0.6275,0.6875,0.48605,0.44799999999999995,0.509,0,0,8,0,0,0,2,6,0,0,2,6,0,0,3,5,0,0,2,6,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
