millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel,infile,norm_Ngon_1,norm_Ngon_2,norm_Ngon_3,norm_Ngon_4,norm_Ngon_5,norm_X,norm_Y,norm_Z,bin_0_norm_Ngon_1,bin_1_norm_Ngon_1,bin_2_norm_Ngon_1,bin_3_norm_Ngon_1,bin_4_norm_Ngon_1,bin_5_norm_Ngon_1,bin_6_norm_Ngon_1,bin_7_norm_Ngon_1,bin_8_norm_Ngon_1,bin_9_norm_Ngon_1,bin_0_norm_Ngon_2,bin_1_norm_Ngon_2,bin_2_norm_Ngon_2,bin_3_norm_Ngon_2,bin_4_norm_Ngon_2,bin_5_norm_Ngon_2,bin_6_norm_Ngon_2,bin_7_norm_Ngon_2,bin_8_norm_Ngon_2,bin_9_norm_Ngon_2,bin_0_norm_Ngon_3,bin_1_norm_Ngon_3,bin_2_norm_Ngon_3,bin_3_norm_Ngon_3,bin_4_norm_Ngon_3,bin_5_norm_Ngon_3,bin_6_norm_Ngon_3,bin_7_norm_Ngon_3,bin_8_norm_Ngon_3,bin_9_norm_Ngon_3,bin_0_norm_Ngon_4,bin_1_norm_Ngon_4,bin_2_norm_Ngon_4,bin_3_norm_Ngon_4,bin_4_norm_Ngon_4,bin_5_norm_Ngon_4,bin_6_norm_Ngon_4,bin_7_norm_Ngon_4,bin_8_norm_Ngon_4,bin_9_norm_Ngon_4,bin_0_norm_Ngon_5,bin_1_norm_Ngon_5,bin_2_norm_Ngon_5,bin_3_norm_Ngon_5,bin_4_norm_Ngon_5,bin_5_norm_Ngon_5,bin_6_norm_Ngon_5,bin_7_norm_Ngon_5,bin_8_norm_Ngon_5,bin_9_norm_Ngon_5,bin_0_norm_X,bin_1_norm_X,bin_2_norm_X,bin_3_norm_X,bin_4_norm_X,bin_5_norm_X,bin_6_norm_X,bin_7_norm_X,bin_8_norm_X,bin_9_norm_X,bin_0_norm_Y,bin_1_norm_Y,bin_2_norm_Y,bin_3_norm_Y,bin_4_norm_Y,bin_5_norm_Y,bin_6_norm_Y,bin_7_norm_Y,bin_8_norm_Y,bin_9_norm_Y,bin_0_norm_Z,bin_1_norm_Z,bin_2_norm_Z,bin_3_norm_Z,bin_4_norm_Z,bin_5_norm_Z,bin_6_norm_Z,bin_7_norm_Z,bin_8_norm_Z,bin_9_norm_Z,longestPosEdge,longestNegEdge,longestPosCount,longestNegCount,label
2304,158,192,138,249,182,-7.53,-2.51,-5.57,1,noise_3_labelled.csv,0.395,0.32,0.345,0.415,0.364,0.31174999999999997,0.43725,0.36075,0,0,0,2,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,-1,-1,0,0,1
2403,163,196,144,254,188,-8.04,-2.86,-5.45,1,noise_3_labelled.csv,0.4075,0.32666666666666666,0.36,0.42333333333333334,0.376,0.29900000000000004,0.4285,0.36375,0,0,0,2,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,-1,-1,0,0,1
2503,173,206,148,266,201,-7.73,-3.3,-4.55,1,noise_3_labelled.csv,0.4325,0.3433333333333333,0.37,0.44333333333333336,0.402,0.30674999999999997,0.4175,0.38625,0,0,0,2,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,-1,-1,0,0,1
2604,169,205,149,263,197,-8.24,-4.16,-3.33,1,noise_3_labelled.csv,0.4225,0.3416666666666667,0.3725,0.43833333333333335,0.394,0.294,0.396,0.41675000000000006,0,0,0,2,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,-1,-1,0,0,1
2703,177,217,158,277,207,-7.92,-5.14,-1.57,1,noise_3_labelled.csv,0.4425,0.3616666666666667,0.395,0.46166666666666667,0.414,0.302,0.3715,0.46075,0,0,0,2,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,-1,-1,0,0,1
2803,177,213,155,275,204,-7.77,-6.24,-0.04,1,noise_3_labelled.csv,0.4425,0.355,0.3875,0.4583333333333333,0.408,0.30575,0.344,0.499,0,0,0,2,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,-1,-1,0,0,1
3003,171,207,152,269,200,-6.86,-7.14,1.45,1,noise_3_labelled.csv,0.4275,0.345,0.38,0.4483333333333333,0.4,0.3285,0.3215,0.53625,0,0,0,2,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,6,3,1,0,0,0,0,-1,-1,0,0,1
3103,178,213,156,279,205,-6.71,-7.61,1.96,1,noise_3_labelled.csv,0.445,0.355,0.39,0.465,0.41,0.33225,0.30975,0.549,0,0,0,1,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,-1,-1,0,0,1
3203,177,213,154,277,206,-5.92,-8.0,2.86,1,noise_3_labelled.csv,0.4425,0.355,0.385,0.46166666666666667,0.412,0.352,0.3,0.5715,0,0,0,1,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,-1,-1,0,0,1
3303,175,206,152,274,204,-5.84,-8.08,3.45,1,noise_3_labelled.csv,0.4375,0.3433333333333333,0.38,0.45666666666666667,0.408,0.354,0.298,0.5862499999999999,0,0,0,1,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,2,5,3,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,-1,7,0,3,1
