millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel,infile,norm_Ngon_1,norm_Ngon_2,norm_Ngon_3,norm_Ngon_4,norm_Ngon_5,norm_X,norm_Y,norm_Z,bin_0_norm_Ngon_1,bin_1_norm_Ngon_1,bin_2_norm_Ngon_1,bin_3_norm_Ngon_1,bin_0_norm_Ngon_2,bin_1_norm_Ngon_2,bin_2_norm_Ngon_2,bin_3_norm_Ngon_2,bin_0_norm_Ngon_3,bin_1_norm_Ngon_3,bin_2_norm_Ngon_3,bin_3_norm_Ngon_3,bin_0_norm_Ngon_4,bin_1_norm_Ngon_4,bin_2_norm_Ngon_4,bin_3_norm_Ngon_4,bin_0_norm_Ngon_5,bin_1_norm_Ngon_5,bin_2_norm_Ngon_5,bin_3_norm_Ngon_5,bin_0_norm_X,bin_1_norm_X,bin_2_norm_X,bin_3_norm_X,bin_0_norm_Y,bin_1_norm_Y,bin_2_norm_Y,bin_3_norm_Y,bin_0_norm_Z,bin_1_norm_Z,bin_2_norm_Z,bin_3_norm_Z,longestPosEdge,longestNegEdge,longestPosCount,longestNegCount,label
4403,214,183,202,143,196,-5.65,-8.16,0.12,0,d_1_labelled.csv,0.6783333333333333,0.6525,0.6683333333333333,0.6191666666666666,0.6633333333333333,0.47174999999999995,0.4592,0.5006,0,0,8,0,0,0,8,0,0,0,5,3,0,0,7,1,0,0,6,2,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
4503,213,183,199,141,193,-5.92,-8.08,0.59,0,d_1_labelled.csv,0.6775,0.6525,0.6658333333333334,0.6175,0.6608333333333334,0.4704,0.4596,0.50295,0,0,8,0,0,0,8,0,0,0,6,2,0,0,8,0,0,0,7,1,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
4603,213,183,198,142,192,-5.81,-8.2,0.71,0,d_1_labelled.csv,0.6775,0.6525,0.665,0.6183333333333333,0.66,0.47095,0.45899999999999996,0.5035499999999999,0,0,8,0,0,0,8,0,0,0,7,1,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
4703,213,182,198,140,191,-6.12,-8.24,0.78,0,d_1_labelled.csv,0.6775,0.6516666666666666,0.665,0.6166666666666667,0.6591666666666667,0.4694,0.45880000000000004,0.5039,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
4803,213,184,199,141,193,-5.92,-8.04,0.67,0,d_1_labelled.csv,0.6775,0.6533333333333333,0.6658333333333334,0.6175,0.6608333333333334,0.4704,0.45980000000000004,0.50335,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
4903,213,184,198,141,192,-5.88,-8.28,0.39,0,d_1_labelled.csv,0.6775,0.6533333333333333,0.665,0.6175,0.66,0.4706,0.4586,0.50195,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
5003,214,184,200,142,204,-6.12,-8.39,0.27,0,d_1_labelled.csv,0.6783333333333333,0.6533333333333333,0.6666666666666666,0.6183333333333333,0.67,0.4694,0.45805,0.50135,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
5103,216,187,301,220,250,-6.08,-8.63,0.39,0,d_1_labelled.csv,0.68,0.6558333333333334,0.7508333333333334,0.6833333333333333,0.7083333333333334,0.4696,0.45685000000000003,0.50195,0,0,8,0,0,0,8,0,0,0,7,1,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
5203,218,186,383,277,305,-6.55,-7.96,0.78,5,d_1_labelled.csv,0.6816666666666666,0.655,0.8191666666666667,0.7308333333333333,0.7541666666666667,0.46725,0.46020000000000005,0.5039,0,0,8,0,0,0,8,0,0,0,6,2,0,0,8,0,0,0,7,1,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
5303,220,185,405,293,302,-6.16,-8.08,0.43,5,d_1_labelled.csv,0.6833333333333333,0.6541666666666667,0.8375,0.7441666666666666,0.7516666666666667,0.4692,0.4596,0.50215,0,0,8,0,0,0,8,0,0,0,5,3,0,0,8,0,0,0,6,2,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
5403,218,185,412,298,320,-5.96,-8.39,0.2,5,d_1_labelled.csv,0.6816666666666666,0.6541666666666667,0.8433333333333334,0.7483333333333333,0.7666666666666667,0.4702,0.45805,0.501,0,0,8,0,0,0,8,0,0,0,4,4,0,0,8,0,0,0,5,3,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
5504,214,185,415,301,334,-5.84,-8.63,-0.43,5,d_1_labelled.csv,0.6783333333333333,0.6541666666666667,0.8458333333333333,0.7508333333333334,0.7783333333333333,0.4708,0.45685000000000003,0.49784999999999996,0,0,8,0,0,0,8,0,0,0,3,5,0,0,7,1,0,0,4,4,0,8,0,0,0,8,0,0,0,1,7,0,0,-1,8,0,5
5603,212,186,425,304,335,-5.92,-8.47,-0.47,5,d_1_labelled.csv,0.6766666666666666,0.655,0.8541666666666666,0.7533333333333333,0.7791666666666667,0.4704,0.45765,0.49765,0,0,8,0,0,0,8,0,0,0,2,6,0,0,6,2,0,0,3,5,0,8,0,0,0,8,0,0,0,2,6,0,0,-1,8,0,5
5703,211,185,428,302,338,-5.69,-8.36,-0.47,5,d_1_labelled.csv,0.6758333333333333,0.6541666666666667,0.8566666666666667,0.7516666666666667,0.7816666666666666,0.47155,0.4582,0.49765,0,0,8,0,0,0,8,0,0,0,1,7,0,0,5,3,0,0,2,6,0,8,0,0,0,8,0,0,0,3,5,0,0,-1,8,0,5
5804,211,184,429,301,332,-5.53,-8.28,-0.55,5,d_1_labelled.csv,0.6758333333333333,0.6533333333333333,0.8575,0.7508333333333334,0.7766666666666666,0.47235,0.4586,0.49725,0,0,8,0,0,0,8,0,0,0,0,8,0,0,4,4,0,0,1,7,0,8,0,0,0,8,0,0,0,4,4,0,0,-1,8,0,5
5903,209,184,427,301,331,-5.57,-8.32,-0.31,5,d_1_labelled.csv,0.6741666666666667,0.6533333333333333,0.8558333333333333,0.7508333333333334,0.7758333333333334,0.47215,0.45840000000000003,0.49845,0,0,8,0,0,0,8,0,0,0,0,8,0,0,3,5,0,0,0,8,0,8,0,0,0,8,0,0,0,5,3,0,0,-1,8,0,5
6003,208,186,422,300,329,-5.65,-8.28,-0.82,5,d_1_labelled.csv,0.6733333333333333,0.655,0.8516666666666667,0.75,0.7741666666666667,0.47174999999999995,0.4586,0.4959,0,0,8,0,0,0,8,0,0,0,0,8,0,0,2,6,0,0,0,8,0,8,0,0,0,8,0,0,0,6,2,0,0,-1,8,0,5
6203,236,187,368,276,284,-5.49,-8.36,0.2,5,d_1_labelled.csv,0.6966666666666667,0.6558333333333334,0.8066666666666666,0.73,0.7366666666666667,0.47255,0.4582,0.501,0,0,8,0,0,0,8,0,0,0,0,8,0,0,2,6,0,0,1,7,0,8,0,0,0,8,0,0,0,6,2,0,0,-1,8,0,5
6303,236,187,295,227,252,-5.37,-8.63,-0.31,0,d_1_labelled.csv,0.6966666666666667,0.6558333333333334,0.7458333333333333,0.6891666666666667,0.71,0.47314999999999996,0.45685000000000003,0.49845,0,0,8,0,0,0,8,0,0,0,1,7,0,0,2,6,0,0,2,6,0,8,0,0,0,8,0,0,0,7,1,0,0,-1,8,0,5
6403,221,186,237,172,227,-5.45,-8.32,0.04,0,d_1_labelled.csv,0.6841666666666667,0.655,0.6975,0.6433333333333333,0.6891666666666667,0.47275,0.45840000000000003,0.5002,0,0,8,0,0,0,8,0,0,0,2,6,0,0,3,5,0,0,3,5,0,8,0,0,0,8,0,0,0,6,2,0,0,-1,8,0,5
6503,219,186,205,146,233,-5.69,-8.47,-0.12,0,d_1_labelled.csv,0.6825,0.655,0.6708333333333333,0.6216666666666667,0.6941666666666667,0.47155,0.45765,0.49939999999999996,0,0,8,0,0,0,8,0,0,0,3,5,0,0,4,4,0,0,4,4,0,8,0,0,0,8,0,0,0,6,2,0,0,-1,8,0,5
6603,219,186,201,143,200,-5.81,-8.36,-0.08,0,d_1_labelled.csv,0.6825,0.655,0.6675,0.6191666666666666,0.6666666666666666,0.47095,0.4582,0.4996,0,0,8,0,0,0,8,0,0,0,4,4,0,0,5,3,0,0,5,3,0,8,0,0,0,8,0,0,0,6,2,0,0,-1,8,0,5
6703,219,184,199,142,196,-6.0,-8.43,0.16,0,d_1_labelled.csv,0.6825,0.6533333333333333,0.6658333333333334,0.6183333333333333,0.6633333333333333,0.47,0.45785,0.5008,0,0,8,0,0,0,8,0,0,0,5,3,0,0,6,2,0,0,6,2,0,8,0,0,0,8,0,0,0,5,3,0,0,-1,8,0,0
6803,219,185,198,141,194,-5.57,-8.39,-0.16,0,d_1_labelled.csv,0.6825,0.6541666666666667,0.665,0.6175,0.6616666666666666,0.47215,0.45805,0.49920000000000003,0,0,8,0,0,0,8,0,0,0,6,2,0,0,7,1,0,0,7,1,0,8,0,0,0,8,0,0,0,5,3,0,0,-1,8,0,0
6903,219,184,199,141,193,-6.16,-8.39,-0.2,0,d_1_labelled.csv,0.6825,0.6533333333333333,0.6658333333333334,0.6175,0.6608333333333334,0.4692,0.45805,0.499,0,0,8,0,0,0,8,0,0,0,7,1,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,5,3,0,0,-1,8,0,0
7003,218,184,199,141,193,-5.92,-8.24,0.2,0,d_1_labelled.csv,0.6816666666666666,0.6533333333333333,0.6658333333333334,0.6175,0.6608333333333334,0.4704,0.45880000000000004,0.501,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,5,3,0,0,-1,8,0,0
7103,218,184,199,141,193,-5.96,-8.36,0.12,0,d_1_labelled.csv,0.6816666666666666,0.6533333333333333,0.6658333333333334,0.6175,0.6608333333333334,0.4702,0.4582,0.5006,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,4,4,0,0,-1,8,0,0
7203,218,184,199,141,193,-5.81,-8.28,0.04,0,d_1_labelled.csv,0.6816666666666666,0.6533333333333333,0.6658333333333334,0.6175,0.6608333333333334,0.47095,0.4586,0.5002,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,4,4,0,0,-1,8,0,0
7303,217,184,199,141,193,-6.16,-8.39,-0.24,0,d_1_labelled.csv,0.6808333333333333,0.6533333333333333,0.6658333333333334,0.6175,0.6608333333333334,0.4692,0.45805,0.4988,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,4,4,0,0,-1,8,0,0
7403,217,186,230,164,213,-5.96,-7.88,0.75,0,d_1_labelled.csv,0.6808333333333333,0.655,0.6916666666666667,0.6366666666666667,0.6775,0.4702,0.4606,0.50375,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,3,5,0,0,-1,8,0,0
7503,217,187,361,256,253,-6.35,-8.36,1.77,5,d_1_labelled.csv,0.6808333333333333,0.6558333333333334,0.8008333333333333,0.7133333333333334,0.7108333333333333,0.46825000000000006,0.4582,0.50885,0,0,8,0,0,0,8,0,0,0,7,1,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,3,5,0,0,-1,8,0,0
7603,217,187,403,289,291,-5.96,-7.69,0.86,5,d_1_labelled.csv,0.6808333333333333,0.6558333333333334,0.8358333333333333,0.7408333333333333,0.7425,0.4702,0.46155,0.5043,0,0,8,0,0,0,8,0,0,0,6,2,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,2,6,0,0,-1,8,0,0
7703,217,184,416,299,328,-6.28,-8.32,0.2,5,d_1_labelled.csv,0.6808333333333333,0.6533333333333333,0.8466666666666667,0.7491666666666666,0.7733333333333333,0.4686,0.45840000000000003,0.501,0,0,8,0,0,0,8,0,0,0,5,3,0,0,8,0,0,0,7,1,0,8,0,0,0,8,0,0,0,1,7,0,0,-1,8,0,0
