millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
50304,168,201,154,288,285,-2,-10,3.22,0
50403,162,199,152,286,283,-1.92,-10.4,2.08,0
50503,163,198,153,286,283,-1.02,-10.28,1.53,0
50604,180,199,153,287,283,-0.9,-10.2,1.84,0
50703,193,198,152,286,283,-1.1,-10.51,1.65,0
50803,193,200,153,288,283,-1.29,-10.63,1.29,0
51003,196,206,160,327,298,-2.75,-10.36,1.22,0
51103,202,222,212,399,402,-2.94,-5.69,5.06,11
51203,232,230,269,464,465,-4.12,-3.96,7.06,11
51303,234,256,301,487,494,-4.24,-3.22,9.02,11
51403,233,272,300,489,501,-4.75,-2.28,10.79,11
51503,230,270,296,485,502,-5.18,-2.04,11.81,11
51603,227,267,293,481,502,-5.3,-1.8,10.94,11
51703,226,265,291,476,501,-4.51,-2.2,11.57,11
51803,227,263,292,477,491,-6.83,-2.9,12.04,11
51903,233,238,265,434,434,-5.26,-4.75,8.63,11
52003,174,210,171,317,387,-3.1,-6.35,5.26,11
52103,165,205,157,294,291,-1.92,-7.06,3.96,0
52203,229,202,154,292,286,-2.28,-9.3,2.67,0
52303,164,200,154,290,284,-1.77,-9.53,1.92,0
52403,163,200,154,290,283,-1.49,-10.51,1.37,0
52503,163,199,153,292,283,-1.14,-10.4,1.61,0
52603,162,199,153,291,284,-1.06,-10.55,1.8,0
52703,162,199,153,292,283,-0.94,-10.4,1.96,0
52803,162,199,153,292,283,-1.06,-10.67,1.61,0
52903,163,200,154,292,284,-1.37,-9.96,1.84,0
53003,165,203,180,368,333,-1.41,-9.34,2.31,11
53103,222,219,229,425,430,-3.02,-5.61,5.18,11
53203,231,228,274,472,471,-5.06,-3.57,6.94,11
53303,235,245,303,488,494,-5.1,-2.98,9.26,11
53403,229,254,302,488,502,-6.04,-3.84,10.36,11
53504,229,258,297,482,456,-6,-2.47,10.63,11
53603,227,258,293,480,426,-5.81,-2.12,10.43,11
53703,225,257,292,475,436,-6.39,-2.86,10.83,11
53804,246,254,291,474,462,-6.12,-3.18,10.71,11
53903,231,236,269,441,413,-5.1,-4.39,8.12,11
54003,171,209,177,328,304,-3.61,-6.86,6.24,0
54203,164,201,155,289,287,-2.55,-8.12,3.73,0
54303,163,198,154,288,285,-1.88,-9.18,3.33,0
54403,163,197,154,287,284,-1.49,-9.65,2.59,0
54503,162,198,152,287,284,-1.65,-10.67,2.08,0
54603,163,198,153,288,284,-0.94,-10.4,2.2,0
54703,162,198,152,287,284,-0.94,-10.4,2,0
54803,163,199,154,287,284,-0.78,-10.55,1.69,0
54903,171,199,156,303,287,-0.9,-9.77,2.35,0
55003,182,213,220,408,421,-1.29,-7.81,4.35,11
55103,256,226,267,459,470,-4.51,-4.2,7.06,11
55203,233,241,297,488,486,-4.71,-3.37,8,11
55303,233,263,303,489,495,-5.65,-3.77,8.87,11
55403,230,272,300,488,499,-5.92,-2.98,11.53,11
55503,228,269,298,484,501,-5.77,-2.47,11.14,11
55603,226,266,295,480,602,-5.84,-1.22,11.02,11
55703,225,262,293,476,494,-5.65,-3.57,10.59,11
55803,284,263,293,478,476,-6.51,-2.75,10.87,11
55903,185,222,227,391,387,-5.14,-5.92,6.39,11
56003,174,209,163,304,306,-3.06,-6.55,3.88,0
56103,177,204,154,290,288,-2.55,-8.24,2.9,0
56203,178,202,154,288,284,-1.45,-16.99,2.82,0
56303,164,200,153,287,284,-0.2,-10.63,1.53,0
56403,164,199,152,287,283,0.04,-10.47,2.12,0
56503,234,200,152,287,282,-0.47,-10.63,2.28,0
56603,203,199,153,287,283,-0.55,-10.43,2.47,0
56704,223,199,153,287,282,-0.47,-10.59,2.2,0
56803,163,202,158,309,290,-0.43,-10.87,2.16,0
56903,185,216,226,420,413,-1.02,-9.14,3.22,11
57004,230,231,287,486,468,-5.92,-3.77,4.67,11
57103,235,253,307,501,487,-6.43,-3.65,8.94,11
57203,232,258,304,498,497,-4.75,-3.53,10.51,11
57403,227,258,296,486,501,-5.22,-1.96,10.47,11
57503,226,256,294,483,502,-6,-1.49,10.94,11
57603,223,259,295,481,500,-5.77,-3.3,11.61,11
57703,225,258,294,479,475,-5.77,-2.79,11.06,11
57803,186,223,226,391,358,-6.9,-2.86,8.67,11
57903,168,210,163,307,307,-3.65,-6.9,5.1,0
58003,175,207,156,293,290,-1.65,-8.28,2.35,0
58103,170,204,154,290,286,-0.2,-9.1,2.98,0
58203,189,202,153,288,283,-0.94,-10.47,2.63,0
58303,183,201,153,288,284,-0.82,-10.43,2.35,0
58403,166,202,153,288,284,-0.31,-10.4,2.47,0
58503,170,202,154,289,284,-0.82,-10.59,2.31,0
58603,163,202,153,288,284,-0.71,-10.63,2.59,0
58703,164,202,154,288,284,-0.27,-10.71,2.31,0
58803,166,203,156,298,288,0.55,-10.4,1.8,0
58903,263,210,208,371,376,-0.2,-6.75,4.2,11
59003,227,232,268,454,368,-5.41,-0.94,7.3,11
59103,233,251,306,496,500,-6.94,-3.02,9.34,11
59203,230,262,307,495,512,-5.1,-3.33,10.75,11
59303,229,261,303,492,515,-5.65,-2.55,11.65,11
59403,230,260,298,488,455,-5.33,-2.2,10.43,11
59503,235,259,296,485,513,-5.81,-2.39,10.67,11
59603,225,257,296,481,504,-6.08,-3.1,10.98,11
59703,271,249,282,458,462,-4.55,-5.06,9.26,11
59803,173,217,188,335,330,-3.33,-6.75,5.14,0
59904,167,208,157,295,293,-1.88,-7.88,3.14,0
60003,164,204,153,289,287,-1.61,-9.65,2.86,0
60103,190,201,153,290,284,-1.65,-10.04,1.33,0
60204,169,200,153,289,283,-0.94,-10.63,1.18,0
60303,197,200,154,290,283,-0.16,-10.83,1.53,0
60403,163,199,153,290,283,-0.12,-10.51,2.12,0
60603,164,200,153,288,283,-0.24,-10.67,1.84,0
60703,167,201,154,304,288,-1.8,-10.04,2.39,0
60803,178,213,190,406,407,-2.12,-9.53,3.06,11
60903,225,232,239,447,453,-2.75,-4.31,4.31,11
61003,239,262,290,486,501,-6.39,-3.18,7.92,11
61103,233,264,304,486,514,-5.84,-3.45,10.67,11
61203,231,261,300,486,321,-6.59,-2.08,11.53,0
61303,233,262,297,485,365,-6.75,-1.06,11.02,11
61403,241,260,294,480,374,-6.16,-1.57,10.9,11
61503,228,257,293,477,424,-5.53,-2.86,10.9,11
61603,221,251,288,469,478,-6.55,-4,9.18,11
61703,173,213,192,353,355,-2.82,-5.53,4.98,11
61803,165,206,157,295,296,-2.55,-7.45,2,0
61903,163,202,153,290,288,-1.49,-9.34,1.65,0
62003,162,200,153,288,285,-1.26,-10.59,1.1,0
62103,162,199,153,287,284,-1.26,-9.61,2.08,0
62203,162,199,153,286,283,-0.63,-10.28,2.28,0
62303,161,198,153,287,283,-1.06,-10.55,2.2,0
62403,162,199,152,285,283,-0.71,-10.43,2.31,0
62503,162,199,153,285,283,-0.55,-10.59,1.92,0
62603,162,199,153,286,283,-0.71,-10.63,1.53,0
62703,165,199,157,309,289,-1.1,-10.47,1.57,0
62803,177,212,204,405,415,-2.51,-8.47,2.43,11
62903,223,227,265,459,475,-4.35,-5.92,4.51,11
63003,238,255,303,493,505,-5.69,-4.67,7.88,11
63104,230,265,305,492,543,-7.45,-2.79,9.81,11
63203,228,267,299,488,457,-5.06,-2.82,10.36,11
63303,228,268,295,482,557,-5.73,-2,10.55,11
63404,224,266,293,479,552,-5.81,-1.61,10.2,11
63503,224,265,292,475,467,-6.94,-3.22,10.71,11
63603,221,255,293,473,495,-6.63,-4.08,9.22,11
63803,165,205,157,294,292,-3.1,-7.3,3.84,0
63903,162,201,153,288,285,-3.14,-8.59,2.98,0
64003,162,200,153,287,283,-1.57,-9.73,2.35,0
64103,162,200,152,286,281,-0.47,-9.14,1.37,0
64203,162,200,153,287,282,-1.33,-10.04,2.43,0
