millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
327303,171,206,174,340,294,0.35,-10.79,0.35,0
327403,185,222,198,378,333,2.67,-9.81,0.16,9
327503,195,235,223,411,377,4.04,-9.34,-0.51,9
327603,203,244,241,434,395,5.57,-9.02,-1.14,9
327703,210,253,251,448,399,6.67,-8.2,-1.57,9
327803,214,254,253,453,402,7.53,-7.53,-1.29,9
327903,218,256,253,451,401,8.63,-7.22,-2.2,9
328003,217,252,249,445,396,8.2,-6.98,-2.51,9
328103,217,250,246,440,390,7.73,-6.9,-2.47,9
328203,217,250,246,438,390,8.16,-6.75,-2.59,9
328303,217,249,245,437,389,7.69,-7.34,-2.2,9
328403,215,247,243,435,388,8.55,-7.53,-2.31,9
328503,211,242,240,428,378,7.61,-8.79,-1.61,9
328603,197,226,222,396,341,3.69,-9.45,-1.53,9
328704,178,212,179,323,298,3.06,-9.53,-0.08,0
328803,172,201,162,291,284,2.16,-9.96,0.9,0
328903,169,196,155,279,278,1.41,-10.04,1.02,0
329004,167,195,153,277,276,0.47,-11.06,0.2,0
329103,166,194,153,277,275,0.63,-10.51,1.53,0
329203,165,194,152,276,275,0.12,-10.59,1.57,0
329403,164,194,152,277,273,0.47,-10.63,1.22,0
329503,165,195,152,277,273,0.59,-10.63,1.29,0
329603,165,194,152,277,273,0.35,-10.63,1.14,0
329703,165,194,152,276,273,0.47,-10.59,0.98,0
329803,165,195,153,276,273,0.51,-10.63,1.06,0
329903,164,195,152,276,272,0.27,-10.71,1.14,0
330003,165,196,153,278,273,0.31,-10.63,1.06,0
330103,165,199,156,285,276,0.43,-10.63,0.63,0
330203,174,214,175,334,288,0.63,-10.83,1.49,0
330303,190,230,200,383,326,0.55,-10.04,0.82,9
330403,202,239,222,414,372,2.28,-9.38,-0.86,9
330503,205,245,235,433,392,4.35,-8.98,-1.18,9
330603,209,252,244,443,400,6.98,-8.08,-1.29,9
330703,228,255,248,449,404,7.49,-8.16,-1.49,9
330803,214,256,248,447,404,7.77,-7.92,-2.16,9
330903,216,257,248,447,403,7.73,-7.41,-2.67,9
331003,217,256,245,444,400,7.61,-7.02,-2.55,9
331103,217,255,245,441,398,7.53,-7.53,-2.67,9
331203,216,256,244,442,402,8.04,-7.41,-2.35,9
331303,213,253,244,441,405,8.2,-7.61,-1.88,9
331403,206,235,235,424,376,5.37,-7.73,-0.27,9
331503,197,216,195,362,331,1.22,-9.81,-0.08,9
331603,179,201,159,290,288,1.41,-10.43,1.02,0
331703,170,196,152,278,280,1.33,-9.96,0.2,0
331803,166,195,151,276,277,1.26,-10.4,0.39,0
331904,167,194,151,277,277,0.71,-10.87,0.39,0
332003,167,193,151,277,275,1.06,-10.63,1.22,0
332103,167,194,151,277,275,0.51,-10.55,1.33,0
332204,167,194,151,276,275,0.31,-10.71,1.33,0
332303,169,194,151,277,275,0,-10.79,1.14,0
332403,169,194,151,278,274,0,-10.67,1.1,0
332603,169,195,152,278,274,0,-10.75,0.82,0
332703,169,195,151,278,274,-0.04,-10.79,0.75,0
332803,169,195,151,277,274,-0.08,-10.67,1.18,0
332903,170,195,152,279,274,-0.04,-10.63,0.71,0
333003,169,196,152,281,275,0.04,-10.87,1.33,0
