millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
133303,196,245,339,489,526,-10.36,-1.18,-2.39,3
133403,187,233,324,470,504,-10.79,-0.27,-2.43,3
133504,196,242,337,475,520,-9.02,-0.24,-1.96,3
133603,208,223,295,414,464,-10.98,-2.55,-0.51,3
133703,192,225,247,367,404,-9.73,-3.3,-1.06,3
133804,203,234,205,337,373,-7.85,-4.63,-1.18,0
133903,208,239,185,310,345,-7.26,-6.32,-0.75,0
134003,188,220,159,287,325,-6.24,-7.22,-0.82,0
134203,182,217,152,276,306,-3.8,-9.92,0.31,0
134303,182,211,153,277,295,-3.61,-10.12,0.86,0
134403,170,198,145,257,289,-2.59,-10.12,1.26,0
134503,185,215,156,280,307,-1.77,-10.24,1.41,0
134603,182,214,156,278,306,-1.29,-9.92,1.29,0
134703,183,213,156,272,304,-1.61,-10.12,1.53,0
134803,182,214,155,279,301,-1.53,-10.36,2,0
134903,181,215,155,278,304,-1.37,-10.4,2.12,0
135003,181,217,158,286,313,-1.53,-10.63,2.67,0
135103,183,227,192,327,368,-1.53,-10.24,2.79,0
135203,212,262,263,401,418,-2.9,-9.57,2.82,3
135303,211,250,313,445,466,-4.9,-8.98,1.57,3
135403,195,237,329,457,481,-6.28,-8.63,0.35,3
135503,190,233,333,468,497,-7.37,-7.06,-0.78,3
135603,194,235,334,470,505,-8.75,-6,-0.86,3
135703,193,235,336,480,517,-8.79,-4.39,-1.69,3
135803,188,230,336,488,530,-8.71,-3.22,-2,3
135903,193,227,336,481,526,-9.92,-2.67,-2.04,3
136003,179,213,313,449,494,-9.34,-1.26,-2.82,3
136103,192,222,326,470,515,-8.9,-1.14,-2.75,3
136203,196,224,333,462,516,-9.69,-0.59,-2.55,3
136303,193,212,267,378,426,-9.3,-3.02,-2.12,3
136403,186,231,220,359,393,-8.67,-4.86,-0.9,3
136503,193,242,189,323,365,-6.98,-6.51,-0.71,0
136603,180,217,160,276,315,-6.55,-7.34,-0.31,0
136704,185,222,162,287,323,-5.49,-8.79,0.78,0
136803,180,227,154,279,315,-5.22,-9.45,1.45,0
136903,180,226,158,282,313,-4.39,-9.65,1.33,0
137004,179,222,154,280,308,-3.49,-9.77,1.8,0
137103,176,214,154,272,302,-1.96,-9.61,2.47,0
137203,178,218,154,277,304,-2.08,-10.16,2.43,0
137403,175,210,152,272,298,-1.37,-10.28,3.02,0
137503,176,211,151,272,299,-1.37,-10.47,3.22,0
137603,172,210,153,270,300,-1.57,-10.43,3.06,0
137703,175,214,152,272,299,-1.96,-10.24,3.1,0
137803,179,218,161,288,314,-3.26,-10.04,2.59,0
137903,181,219,217,345,361,-4.43,-9.45,2.63,0
138003,212,252,311,444,458,-4.86,-8.16,1.53,3
138103,208,249,339,473,495,-4.98,-7.45,0.12,3
138203,195,238,335,475,502,-6.59,-7.14,0.12,3
138303,182,234,325,464,491,-7.34,-4.63,-2.16,3
138403,198,235,327,468,506,-8.87,-4.12,-2.24,3
138503,184,219,318,460,487,-8.98,-2.86,-1.49,3
138603,200,231,334,494,526,-9.41,-1.77,-1.73,3
138703,171,199,293,430,457,-9.61,-0.31,-3.14,3
138803,200,229,335,490,521,-9.41,0.08,-3.53,3
138903,195,224,322,475,508,-9.57,0.39,-3.1,3
139003,185,212,306,427,479,-9.89,-1.1,-2.98,3
139103,199,216,279,390,445,-9.89,-3.61,-1.65,3
139203,188,257,246,371,407,-7.73,-5.02,-0.27,3
139303,195,253,220,359,406,-6.59,-6.86,0.67,3
139403,188,228,186,324,364,-6.59,-8.24,1.65,0
139503,175,213,159,287,293,-5.84,-9.02,2.67,0
139603,182,219,160,290,306,-4.04,-8.98,3.33,0
139703,179,219,157,285,321,-3.88,-8.94,3.37,0
139803,176,212,153,276,312,-3.77,-9.3,4.24,0
139904,169,208,151,270,297,-3.22,-9.14,4.55,0
140003,176,214,154,276,303,-3.02,-9.38,4.63,0
140103,162,196,140,251,271,-3.14,-9.45,4.86,0
140204,165,200,144,256,278,-2.71,-9.41,5.41,0
140303,155,186,135,242,260,-2.63,-9.26,5.49,0
140403,167,200,144,258,278,-2.86,-9.14,4.86,0
140603,164,196,142,251,268,-3.1,-9.53,4.12,0
140703,172,207,151,267,284,-4.39,-9.85,3.92,0
140803,194,230,187,305,332,-3.69,-9.06,3.65,0
140903,181,215,226,361,391,-5.14,-8.16,2.82,3
141003,209,247,313,459,500,-6.2,-8.16,1.49,3
141103,212,250,344,490,534,-6.71,-6.86,0.51,3
141203,205,251,353,499,541,-7.02,-5.77,-0.67,3
141303,205,240,342,489,533,-8.36,-5.18,-0.63,3
141403,205,234,339,488,534,-8.98,-4.08,-0.98,3
141503,202,228,332,480,530,-8,-1.84,-3.1,3
141603,187,210,303,443,485,-7.77,-0.51,-3.96,3
141703,201,226,339,477,527,-8.75,-0.78,-3.8,3
141803,203,228,336,479,528,-9.22,-1.06,-3.22,3
141903,200,226,332,460,522,-8.36,-0.35,-3.41,3
142003,200,230,278,398,460,-8.98,-3.33,-1.96,3
142103,187,235,227,375,416,-8.2,-5.22,-0.75,3
142203,197,235,196,337,390,-7.26,-6.51,0.08,0
142303,191,242,172,305,357,-6.63,-7.57,0.98,0
142403,167,207,148,262,298,-6.43,-8.12,2.04,0
142503,181,222,160,281,314,-5.61,-8.47,3.3,0
142603,183,220,159,282,312,-5.02,-8.59,3.8,0
142703,180,216,157,262,302,-4.47,-8.59,4.24,0
142803,166,200,158,255,272,-4.59,-8.67,4.67,0
142903,170,204,152,265,283,-4.86,-8.75,4.47,0
143003,175,209,143,272,288,-4.39,-8.67,4.86,0
143104,164,196,143,254,269,-4.04,-8.71,4.86,0
143203,171,206,150,266,280,-3.96,-8.9,4.94,0
143303,173,208,153,270,284,-4.2,-8.79,4.9,0
143404,172,208,153,271,284,-4.39,-8.87,4.47,0
143503,166,205,151,266,279,-4.75,-8.87,3.92,0
143603,183,227,182,294,299,-4.59,-8.55,3.57,0
143803,220,259,324,450,511,-6.2,-8.04,1.18,3
143903,205,247,322,455,508,-7.34,-7.49,0.63,3
144003,199,241,330,462,518,-7.1,-5.77,-0.75,3
144103,193,225,303,449,501,-8.32,-5.3,-0.47,3
144203,208,237,316,477,532,-9.1,-4.71,-0.71,3
144303,204,240,313,466,518,-8.87,-3.1,-1.57,3
144403,205,233,304,464,515,-8.79,-1.88,-2.63,3
144503,197,223,303,452,500,-9.61,-1.49,-2.79,3
144603,208,233,317,475,527,-9.38,-1.22,-2.67,3
144703,206,229,326,471,519,-9.65,-1.1,-2.39,3
144803,203,226,321,464,514,-9.53,-1.37,-2.39,3
144903,198,219,291,441,497,-9.34,-2.35,-1.88,3
145003,190,209,276,387,463,-9.18,-3.53,-1.06,3
145103,185,217,235,363,422,-8,-5.45,-0.12,3
145203,181,218,195,330,389,-7.61,-6.04,0.59,0
145303,179,214,173,297,343,-7.61,-6.86,0.75,0
145403,173,209,158,278,314,-7.02,-7.06,1.45,0
145503,176,215,160,284,318,-6.59,-7.53,2.16,0
145603,159,196,138,281,312,-5.92,-7.92,3.18,0
145703,172,214,158,282,312,-5.26,-8.2,4.71,0
145803,162,201,149,265,294,-5.02,-8.43,5.22,0
145903,160,198,147,261,286,-5.33,-8.39,4.82,0
146003,162,200,150,266,293,-5.26,-8.12,4.59,0
146103,161,198,154,267,298,-5.77,-8.24,4.43,0
146203,174,211,206,329,364,-5.69,-7.88,3.96,0
146304,178,219,264,395,405,-6.35,-7.45,3.22,3
146403,192,232,315,455,472,-6.67,-6.94,2.16,3
146503,205,244,340,495,513,-7.45,-6.32,-0.12,3
146604,203,242,336,491,515,-7.34,-5.33,-1.33,3
146703,200,229,321,458,495,-8.98,-4.47,-1.14,3
146803,225,225,328,470,511,-8.55,-3.84,-1.69,3
147003,228,210,320,454,496,-9.14,-0.31,-3.14,3
147103,228,210,315,448,496,-9.65,-0.71,-2.55,3
147203,235,219,337,473,522,-9.18,-1.29,-2.08,3
147303,231,218,332,475,523,-9.14,-0.47,-2.39,3
147403,209,200,303,420,464,-10.2,-0.94,-2.55,3
147503,212,219,317,441,497,-8.87,-2.16,-1.92,3
147603,210,213,271,401,448,-8.94,-4.08,-0.94,3
147703,194,217,229,375,407,-8.32,-5.1,-0.16,3
