Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,Label
225,184,199,216,194,-1.14,-10.43,3.02,0
217,185,208,232,194,-0.94,-10.36,3.3,0
214,193,211,223,192,-1.41,-10.55,3.53,0
216,196,201,227,195,-1.77,-10.08,3.37,0
218,179,212,229,190,-1.53,-10.36,3.02,0
218,184,218,236,198,-1.88,-9.92,3.02,0
232,229,244,267,215,-1.41,-10.24,2.28,1
222,273,273,304,219,-1.49,-10.36,2.71,1
221,331,316,385,281,-1.73,-10.67,3.02,1
219,353,341,399,310,-1.45,-10.32,2.31,1
217,376,350,422,338,-0.82,-10.79,2.28,1
214,375,368,426,357,-1.69,-10.24,2.31,1
215,370,378,432,351,-1.73,-10.43,1.88,1
215,371,355,454,349,-1.1,-11.06,2.43,1
217,370,349,441,349,-1.18,-10.79,3.18,1
216,372,355,385,346,-1.33,-9.92,3.22,1
215,364,340,432,341,-1.96,-10.47,1.37,1
215,357,344,403,335,-1.41,-10.47,2.82,1
218,228,254,290,219,-0.94,-10.51,2.24,1
229,193,204,216,186,-1.18,-10.79,2.35,2
255,192,200,207,186,-1.02,-10.55,2.55,2
275,190,199,205,188,-0.98,-10.55,2.51,2
281,189,199,205,190,-0.94,-10.59,2.51,2
284,186,199,203,194,-0.9,-10.67,2.55,2
283,185,197,202,201,-0.98,-10.43,2.51,2
282,185,198,202,200,-1.06,-10.59,2.47,2
280,185,197,201,199,-1.02,-10.55,2.35,2
278,185,198,200,199,-0.94,-10.47,2.39,2
269,185,198,201,197,-1.14,-10.55,2.43,2
231,186,198,201,187,-0.86,-10.47,2.47,2
220,185,198,205,187,-1.02,-10.51,2.12,2
219,188,207,225,191,-1.41,-10.47,2.35,2
219,191,217,242,199,-1.1,-10.47,2.43,0
219,199,231,261,208,-1.26,-10.55,2.24,0
219,203,240,269,212,-1.1,-10.55,2.31,0
220,202,238,267,212,-1.26,-10.51,2.43,0
220,202,238,265,213,-1.33,-10.59,2.04,0
219,202,237,264,212,-1.14,-10.55,2.39,0
220,202,237,261,210,-1.18,-10.55,2.39,0
216,183,198,202,194,-0.98,-10.67,2.79,0
216,183,198,202,196,-0.2,-10.51,2.86,0
216,183,198,202,194,-0.63,-10.51,3.02,0
215,182,198,204,193,-0.35,-10.55,2.71,0
217,183,199,206,193,-0.59,-10.59,2.59,0
215,184,201,211,194,-0.75,-10.59,2.55,0
215,192,210,231,197,-0.59,-10.43,2.82,0
215,214,234,258,206,-0.59,-10.32,2.98,1
216,274,268,308,239,-0.86,-10.43,2.86,1
216,328,321,371,286,-1.37,-10.2,2.71,1
215,370,355,413,322,-1.1,-10.55,2.63,1
214,380,366,427,352,-1.29,-10.47,2.51,1
214,387,369,432,366,-1.22,-10.24,2.94,1
213,387,386,426,363,-0.9,-10.4,3.88,1
214,385,372,413,354,-1.22,-10.59,3.45,1
215,379,355,429,354,-1.02,-10.2,3.45,1
213,379,355,416,354,-1.33,-10.63,2.94,1
214,377,367,405,335,-1.22,-10.36,2.75,1
214,367,357,417,338,-1.41,-10.47,2.67,1
214,335,331,381,324,-1.18,-10.43,2.67,1
221,227,277,304,235,-0.9,-10.59,3.02,2
257,237,218,227,194,-0.82,-10.32,1.69,2
277,197,201,217,193,-0.59,-11.34,3.61,2
277,184,191,217,196,0.2,-11.3,3.53,2
290,181,192,213,193,-0.63,-11.02,2.94,2
280,177,192,199,194,0,-10.55,2.08,2
279,188,194,192,197,0.12,-10.67,2.9,2
275,181,195,189,198,0.04,-11.1,3.3,2
275,176,192,200,197,-0.24,-10.59,2.24,2
280,181,193,199,201,-0.35,-10.4,2.16,2
283,185,193,198,197,-0.16,-10.71,2.24,2
262,181,198,203,193,-0.71,-10.63,2.24,2
245,188,188,203,203,-0.63,-10.59,2.47,2
220,194,201,229,197,-0.55,-10.47,2.28,0
221,185,212,229,193,-0.78,-10.79,2.94,0
222,181,203,229,186,-1.22,-10.59,2.35,0
218,184,210,229,196,-0.31,-10.75,3.18,0
214,203,236,229,198,-1.92,-10.04,4.98,0
222,189,238,229,205,-1.61,-10.32,3.92,0
215,198,242,229,209,-1.26,-10.28,4.28,0
228,197,243,229,210,-1.61,-10.08,3.49,0
224,195,240,229,209,-1.57,-10.36,4.31,0
221,193,242,229,208,-1.18,-10.16,4.08,0
226,201,239,229,207,-2.43,-9.85,3.37,0
222,203,226,229,208,-0.82,-9.77,6.32,0
220,191,224,395,199,-0.78,-10.28,3.84,0
220,190,224,250,201,-0.67,-10.36,4.08,0
221,191,224,247,201,-0.71,-10.32,3.57,0
221,191,223,246,199,-0.67,-10.28,3.96,0
220,191,223,242,198,-0.82,-10.28,3.8,0
220,191,229,250,201,-0.71,-10.28,4,0
221,191,240,267,222,-0.55,-10.36,3.61,0
223,192,251,277,219,-0.71,-10.32,3.65,1
220,216,249,275,218,-0.63,-10.43,3.84,1
218,291,298,320,235,-0.59,-10.51,3.73,1
216,355,345,380,279,-0.71,-10.28,4.08,1
212,384,366,409,310,-0.63,-10.16,4.28,1
212,392,374,418,327,-0.51,-10.08,4.55,1
212,394,376,421,330,-0.47,-10.08,4.51,1
211,394,379,422,332,-0.43,-10.2,4.71,1
211,391,377,422,330,-0.47,-10,4.75,1
210,389,375,418,327,-0.47,-10.12,4.75,1
210,385,372,414,323,-0.39,-10.04,4.63,1
210,359,351,389,298,-0.51,-10.24,4.16,1
213,221,250,267,212,-0.24,-10.4,2.79,2
230,189,206,209,185,-0.04,-10.43,3.41,2
245,187,200,200,184,0.2,-10.67,3.53,2
251,185,200,202,185,0.71,-10.4,3.3,2
255,185,199,203,188,0.43,-10.4,3.33,2
253,184,199,202,187,0.31,-10.51,3.61,2
253,184,199,203,188,0.35,-10.51,3.57,2
252,184,199,201,188,0.24,-10.47,3.69,2
239,184,200,201,188,0.2,-10.59,3.3,2
232,230,240,253,199,0.16,-10.71,2.39,3
235,268,277,287,206,0.98,-10.67,1.18,3
248,301,298,320,217,1.37,-10.67,0.2,3
267,331,318,353,229,2.08,-10.32,-1.1,3
