millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
164803,201,225,169,285,289,-5.49,-5.65,6.94,0
164903,202,243,197,327,294,-6.43,-6.12,7.49,0
165003,203,259,285,425,298,-6.47,-5.37,7.73,5
165103,205,265,308,464,303,-5.41,-5.1,7.73,5
165203,208,272,331,486,312,-5.49,-4.39,7.22,5
165303,209,274,344,495,325,-5.14,-3.88,7.34,5
165403,209,275,336,492,341,-5.73,-4.04,8.39,5
165504,210,269,326,480,327,-5.77,-4.31,9.1,5
165603,213,275,336,492,346,-5.65,-3.92,8.87,5
165703,212,274,331,491,338,-4.9,-4.12,8.12,5
165804,212,272,327,490,338,-4.82,-4.24,8.39,5
165903,213,271,330,488,336,-5.26,-4.12,9.02,5
166003,214,271,327,483,322,-5.45,-3.96,9.96,5
166203,212,252,200,338,312,-4.75,-4.94,7.73,0
166303,213,245,181,313,309,-4.71,-5.41,7.45,0
166403,208,240,180,301,307,-5.06,-5.3,7.65,0
166503,213,241,180,299,307,-5.02,-5.92,7.96,0
166603,214,241,181,300,306,-5.02,-5.88,7.88,0
166703,220,246,188,301,313,-5.02,-5.92,7.77,0
166803,221,248,187,304,312,-4.9,-5.61,7.26,0
166903,200,228,167,287,295,-5.06,-5.65,7.77,0
167003,227,256,196,313,322,-5.37,-5.96,8.16,0
167103,249,290,231,354,317,-5.53,-6,8.43,5
167203,255,319,342,476,349,-4.94,-5.37,8.32,5
167303,252,317,356,512,344,-4.55,-5.14,7.61,5
167403,262,335,375,541,354,-4.71,-4.67,7.22,5
167503,260,326,368,533,364,-5.45,-4.71,8.16,5
167603,259,324,364,528,368,-5.77,-4.94,9.34,5
167703,262,327,359,525,376,-4.98,-4.75,8.71,5
167803,265,286,364,525,377,-4.63,-4.12,9.1,5
167903,267,326,369,524,373,-5.02,-3.88,9.14,5
168003,274,327,372,526,367,-5.06,-3.92,8.79,5
168103,282,340,371,519,369,-5.18,-3.26,10.24,5
168203,284,336,329,467,372,-5.18,-4.2,9.1,5
168303,292,328,278,407,375,-4.9,-4.98,7.96,5
168403,292,318,260,379,375,-4.67,-5.06,7.26,5
168503,288,310,255,366,369,-4.94,-5.02,7.41,5
168603,288,308,255,362,368,-5.53,-5.26,7.49,5
168704,287,309,255,364,366,-6.2,-4.82,7.57,5
168803,285,309,258,365,369,-5.77,-5.02,7.65,5
168903,291,317,259,370,371,-5.77,-5.02,7.3,5
169004,289,326,313,432,370,-6.12,-5.02,7.88,5
169103,291,334,351,488,371,-6.43,-5.02,8.28,5
169203,244,293,317,488,315,-5.92,-4.12,8.43,5
169403,245,283,354,523,330,-5.06,-3.57,8,5
169503,245,296,348,516,337,-6,-3.69,9.14,5
169603,246,296,346,507,339,-5.49,-3.77,9.02,5
169703,246,291,342,511,339,-4.31,-3.92,9.06,5
169803,246,293,339,508,339,-4.86,-3.41,9.22,5
169903,246,291,340,504,339,-4.9,-3.53,8.47,5
170003,246,291,339,506,339,-4.47,-3.41,9.22,5
170103,246,290,338,505,338,-4.67,-3.41,9.96,5
170203,246,286,330,490,332,-4.55,-3.96,9.61,5
170303,243,254,279,429,330,-4.63,-4.63,8.98,5
170403,241,276,225,357,330,-4.82,-4.59,8.2,0
170503,241,268,205,332,327,-4.94,-4.79,7.81,0
170603,241,266,203,326,327,-4.79,-4.86,8.2,0
170703,238,265,205,323,325,-5.92,-4.71,8.32,0
170803,238,264,202,321,322,-6.12,-5.49,7.61,0
170903,238,266,204,321,326,-5.14,-5.49,7.96,0
171003,237,264,202,321,325,-4.79,-4.71,7.61,0
171103,238,265,206,324,326,-5.49,-5.14,7.88,0
171203,239,273,214,344,326,-6,-5.33,7.96,0
171303,234,290,230,365,325,-6.08,-5.33,8.28,0
171403,238,295,267,412,332,-4.67,-5.1,7.26,5
171503,250,312,337,489,341,-3.92,-4.98,7.49,5
171603,261,326,376,532,360,-3.53,-4.67,7.06,5
171703,259,301,371,528,387,-4.47,-4.43,8.2,5
171803,257,327,366,527,390,-5.45,-4.39,9.69,5
171904,256,326,361,524,390,-5.65,-4.63,9.61,5
172003,251,318,359,518,384,-5.18,-4.08,9.49,5
172103,252,313,356,516,383,-3.92,-4.08,8.67,5
172204,253,310,354,514,370,-3.61,-3.77,8.12,5
172303,248,310,353,505,353,-4.04,-4.47,9.1,5
172403,253,309,309,452,349,-4.35,-4.98,9.96,5
172603,254,288,226,348,346,-4.82,-5.53,7.49,0
172703,223,260,202,312,317,-4.63,-5.33,7.65,0
172803,219,242,201,311,325,-5.02,-5.22,7.92,0
172903,237,263,211,317,331,-4.94,-6.2,7.92,0
173003,238,265,207,318,325,-4.9,-5.96,7.81,0
